Date,Forecast_5_Days,Forecast_10_Days,Forecast_20_Days
2025-08-23,1568.2464599609375,1568.2464599609375,1568.2465
2025-08-24,1569.8897705078125,1569.8897705078125,1569.8898
2025-08-25,1569.4376220703125,1569.4376220703125,1569.4376
2025-08-26,1568.4249267578125,1568.4249267578125,1568.4249
2025-08-27,1567.252197265625,1567.252197265625,1567.2522
2025-08-28,,1566.2371826171875,1566.2372
2025-08-29,,1565.430419921875,1565.4304
2025-08-30,,1564.82373046875,1564.8237
2025-08-31,,1564.3753662109375,1564.3754
2025-09-01,,1564.0465087890625,1564.0465
2025-09-02,,,1563.8058
2025-09-03,,,1563.6307
2025-09-04,,,1563.5049
2025-09-05,,,1563.4166
2025-09-06,,,1563.3567
2025-09-07,,,1563.3184
2025-09-08,,,1563.296
2025-09-09,,,1563.2853
2025-09-10,,,1563.2828
2025-09-11,,,1563.2861
