Meta_ticker,Meta_yearReport,Meta_lengthReport,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
DBC,2025,2,0.7504133999,0.9233765539,0.6024008243014222,2.264184317506772,1.0189947891,3.0887347762,5.50417562665808,172.5926004714,25.6728829565,203.76965905455808,2.1148067704,0.15177356631470873,0.21597984034175402,0.1327116777781039,0.2229481812,0.1491732494,0.1095740464,2516401543763.0,579789569713,0.0,1.3763746474,0.0597012385,0.4429165579,-8.895472810366922,1.9233765538821448,11680703343450,384866667.0,7.3551830859,1.5417065372,0.8019316971,5.2961803153,1317.2648400855146,19685.9773689468,6.4607676895
DBC,2025,1,0.8670525424000001,0.9920156615,0.6440913868722453,2.1616543013142127,0.9962900662,2.893398774,5.741597525621076,177.3340306787,24.7706415551,207.8462697594211,2.0582625828,0.16118042187115741,0.22640828392947124,0.14081771532721857,0.1896557785,0.1188488887,0.0861624357,2160969929117.0,581756609875,0.0,1.3184206215,0.0914125989,0.4198140358,-8.399786223481595,1.9920156614740168,11412217844500,334669145.0,8.6691845373,1.5777244785,0.819238113,7.9106839662,1518.695331665547,21613.4061837819,7.5589478625
DBC,2024,4,0.9543275089000001,1.0871104767,0.7079095522825548,2.0217219905052795,1.0005080989,2.7315854084,5.644999176744811,172.7275628779,24.4311349717,202.80369702634482,2.113154345,0.08536629714962038,0.14689576722276,0.06614646059313065,0.1345573597,0.0860936215,0.0566893731,1711834297032.0,308277687396,0.0,1.2207620901,0.0684243708,0.3615431849,-4.461512210656173,2.0871104766625237,8667930855500,334669145.0,9.5448661967,1.2812754971,0.6385910797,6.5203985858,713.7507620996851,20214.2318793715,8.0689964132
DBC,2024,3,1.0128044868,1.1555556415,0.742878102383335,1.9503469142080607,0.9505950928,2.5150873955,6.783473861353222,184.4226166929,27.1101702497,218.3162608039532,1.9791498816,0.11273786695391257,0.17691046646908082,0.08855828431353277,0.1031277253,0.0674602536,0.0405646122,1458735798887.0,397404158045,0.0,1.2460276016,0.0838928724,0.4005388602,-5.520158413101066,2.1555556414977866,8902199257000,334669145.0,12.8905243577,1.3640689089,0.7078568348,-22.4477754851,932.7733150900422,19500.4811163993,9.6296075102
DBC,2024,2,1.5524812124,1.7278453098,1.015237461429804,1.4597335540944476,0.9210575889,2.307219829,6.93410184623375,186.4023588186,34.988354635,228.32481529983374,1.9581297271,0.07066989912479275,0.1351832978896107,0.045667297605465604,0.050019939,0.0442500373,0.0185581151,1116109132759.0,225060252485,0.0,1.0041634014,0.0712918966,0.2118289497,-2.8633342197671445,2.727845309781378,10341276580500,334669145.0,34.37745283,1.664113103,0.8793233522,-28.9501167361,434.5642231822716,18568.4494301559,14.7696846431
DBC,2024,1,1.3943289719,1.6402692661,1.0644495997068095,1.4159783291208397,0.9587552004,2.4618595509,6.795897310846566,178.6516491412,39.9541405158,225.40168696784656,2.0430821756,0.04362196959995006,0.10725039593192957,0.022323032636958146,0.0894269836,0.0697243224,0.0332884438,1285752704384.0,141884455528,0.0,1.0155901121,0.0546276252,0.2135868968,-3.259346810571877,2.640269266105864,8228063206000,242001859.0,19.6682018763,1.7363022909,0.6828894714,54.2813656143,300.0295559713035,19581.8436562258,10.4433925128
DBC,2023,4,1.4773259650000001,1.7884803606,1.103336909082218,1.3942829588171326,0.8550821803,2.3512746757,7.778104226076532,195.6483843183,53.4005888171,256.82707736147654,1.8655916903,0.02275543358951338,0.09246132534446205,0.0024682884857432025,0.0053735794,0.0308965837,0.0019246809,872728498385.0,59482287817,0.0,0.9943479321,0.0829137132,0.2249927072,-0.9414706925168854,2.788480360760927,7477857443100,242001859.0,299.0282467841,1.602546308,0.6730744315,-7.7306476229,26.66120437942586,19281.8141014611,13.9694599986
DBC,2023,3,1.3260988522000001,1.6233114535,1.1237915725078322,1.3923550664137263,0.925018282,2.5460438302,8.581851063685612,169.2229882303,53.2117815297,231.0166208236856,2.1569173539,0.03127981775937541,0.10364967101848152,0.0046004132605815895,-0.0131614444,0.026316201,-0.0049050582,756768313986.0,84744873644,0.0,1.0207497516,0.0515611383,0.2597620945,-1.3896262878906025,2.6233114534564983,6171047404500,242001859.0,-101.8529341461,1.3243208266,0.5400915644,-618.7752361984,51.50238805810165,19255.1528958751,14.38318123
DBC,2023,2,1.3097740505,1.6943109755,0.8924687463975939,1.38863088880542,1.0131122194,2.8608731374,8.300703959952546,154.6382220926,46.8367703657,209.77569641825255,2.360347882,0.124319758548824,0.19066845810247038,0.09410117650179389,0.0286376798,0.0464502835,0.0109943681,952873676542.0,431771251107,0.0,0.9641460652,0.0586274642,0.2197295323,-9.052431269422643,2.6943109754694583,5517642385200,242001859.0,41.3923931588,1.1872742627,0.4491867724,-33.8564137222,1350.4854676550233,19203.6505090277,10.8407961167
DBC,2023,1,1.4145571197,1.809082097,0.9871308083008374,1.2909762352767835,0.9919713532,2.6791459517,9.112635341218352,151.3931647515,49.3086197069,209.81441979961835,2.4109410791,-0.10829125737357577,-0.03045725967751855,-0.13862161118460128,-0.0384847515,0.0114247018,-0.0150982882,609311578646.0,-250553257502,0.0,0.9254436617,0.0224224466,0.2151633958,3.64879225240811,2.8090820969606622,6146847218600,242001859.0,-34.2924166568,1.4227169212,0.5219397513,-14.6599502563,-1325.3143406018216,17853.1650401661,18.3784054821
DBC,2022,4,1.1800988469,1.7954034714,0.8987982855172737,1.4301076966772661,0.9697328009,2.6019643644,9.015399229256934,162.2026159559,60.6438206682,231.86183585335692,2.2502719691,-0.0037120868380188265,0.05113162170668242,-0.027012085191109963,0.0011138636,0.0230549438,0.0004358486,709878739778.0,-10876077088,0.0,0.9794956055,0.0869276696,0.2575931268,0.22493765894745668,2.6172342387598984,3557427327300,242001859.0,684.8434452768,0.7664841256,0.3077999731,11.411059818,-327.034491098682,19178.4793819745,10.5395488203
DBC,2022,3,1.0191037726,1.3255019104,0.9167840334399341,1.4537558148218295,1.1093624503,2.739993052,8.071602251584595,140.4491843473,43.5986397347,192.1194263335846,2.5988046972,0.08060445332912312,0.1361398796808388,0.05785177025682054,0.072101082,0.0681596905,0.0304954664,1119586545899.0,287511965047,0.0,1.0507599882,0.0448178097,0.2698881838,-7.1983975700432525,2.3255019103762082,3763128907450,242001859.0,11.0402000821,0.7734672978,0.3034816683,-336.0895167851,852.6971997268831,20104.2759586901,6.8663769162
DBC,2022,2,0.9415326115,1.4709019724,0.9779185988318412,1.39209661779666,1.0423675429,2.5445089475,7.789912545672607,151.9523962804,46.043233231,205.78554205707258,2.4020680748,0.027878158869167582,0.09602312039309736,0.004809435473106476,0.0578252297,0.0628140056,0.0246692799,1038046694171.0,82697010272,0.0,1.001469129,0.0306613096,0.2466358074,-1.7166669134929906,2.4709019723621237,4283432904300,242001859.0,15.7182492939,0.9194051159,0.3719918851,35.5886808787,58.95234978752787,19251.5787589632,7.5609467077
